NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                                               MESSAGE
kube-system   2m29s       Normal    Pulled                         pod/netd-xlp69                                       Container image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/netd-init:v0.10.12-gke.16@sha256:7c17ea472a942f1c612d26e240c15c79d9d0e9d4339010983785563559a11cdc" already present on machine and can be accessed by the pod
kube-system   2m28s       Normal    Pulling                        pod/gke-metrics-agent-85s2d                          Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8"
gmp-system    2m28s       Warning   NetworkNotReady                pod/collector-2hn2m                                  network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
argocd        2m28s       Warning   FailedScheduling               pod/argocd-repo-server-7df895d8f4-pr26x              0/2 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
argocd        2m28s       Warning   FailedScheduling               pod/argocd-server-5df668db89-fl7gx                   0/2 nodes are available: 1 node(s) didn't match Pod's node affinity/selector, 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/2 nodes are available: 2 Preemption is not helpful for scheduling.
kube-system   2m28s       Normal    Created                        pod/netd-xlp69                                       Container created
default       2m28s       Normal    NodeReady                      node/gke-cnip-gke-platform-01bed97e-rkph             Node gke-cnip-gke-platform-01bed97e-rkph status is now: NodeReady
kube-system   2m28s       Normal    Started                        pod/netd-xlp69                                       Container started
kube-system   2m28s       Normal    Pulling                        pod/gke-metadata-server-96f78                        Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251006.01_p0@sha256:9042573fdb0db543b09002011fd5231eb1b0799bc345f40bd39454deaef0f7ab"
kube-system   2m28s       Normal    Pulling                        pod/fluentbit-gke-v29rz                              Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260222.00_p0@sha256:f1538ec13c7dbe0e95cd5aab7a25c29280d41a3909d86d400b43d66b54642da8"
kube-system   2m28s       Normal    Pulling                        pod/pdcsi-node-2h6jw                                 Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gcp-compute-persistent-disk-csi-driver:v1.23.1-gke.20@sha256:fc65b739e47e804ec6c93f4a2a8d8a2dbcaa2c1dd91f082fdb0c4266856d12ce"
