NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                                               MESSAGE
kube-system   108s        Normal    Pulled                         pod/konnectivity-agent-79cd9446fc-bkzh9              Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/proxy-agent:v0.35.0-gke.1@sha256:2065f91ef5b24b14f6b9da1f1eedf83895d5167918a93cb1770c1124e4ab038d" in 2.269s (7.064s including waiting). Image size: 29774159 bytes.
kube-system   108s        Normal    Pulling                        pod/konnectivity-agent-79cd9446fc-bkzh9              Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260121_2300_RC0@sha256:3cbd2b897c681db94832b4e03e58e4e2168666259507ff8fb8ae43a01a3b5f5d"
kube-system   107s        Normal    Created                        pod/gke-metrics-agent-85s2d                          Container created
kube-system   107s        Normal    Pulled                         pod/gke-metrics-agent-85s2d                          Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250807_2300_RC0@sha256:aa1ed41571fa937da61b5bcd7cf842981c7f026b516c18655bc2f3a9362b1fa5" in 1.733s (5.958s including waiting). Image size: 25459396 bytes.
gmp-system    106s        Normal    Started                        pod/collector-2hn2m                                  Container started
gmp-system    106s        Normal    Created                        pod/collector-2hn2m                                  Container created
kube-system   106s        Normal    Started                        pod/gke-metrics-agent-85s2d                          Container started
gmp-system    106s        Normal    Pulled                         pod/collector-2hn2m                                  Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260714.00_p0@sha256:e3c8889fcbb07392d3b8a8ff0d4cf80310cb116628c7742061d7c71855c326cb" in 438ms (6.215s including waiting). Image size: 3337442 bytes.
kube-system   102s        Normal    Pulled                         pod/pdcsi-node-2h6jw                                 Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/csi-node-driver-registrar:v2.15.0-gke.34@sha256:b38f4e46ad46c1f83f550d695812296b8d2d6a211c3fc0633f28979b0e958516" in 4.068s (9.349s including waiting). Image size: 14461369 bytes.
kube-system   102s        Normal    Pulled                         pod/fluentbit-gke-v29rz                              Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit:v0.0.422-gke.2@sha256:4b5df304074c9f2842f16ef4869c0ec253c2d91d6478e5aa42d2f8dce9146b45" in 7.186s (13.298s including waiting). Image size: 66344763 bytes.
kube-system   101s        Normal    Started                        pod/pdcsi-node-2h6jw                                 Container started
kube-system   101s        Normal    Created                        pod/pdcsi-node-2h6jw                                 Container created
kube-system   100s        Normal    Started                        pod/fluentbit-gke-v29rz                              Container started
kube-system   100s        Normal    Created                        pod/fluentbit-gke-v29rz                              Container created
kube-system   100s        Normal    Pulling                        pod/fluentbit-gke-v29rz                              Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit-gke-exporter:v0.27.17-gke.20@sha256:67269cb89dbf9cf4e76e199a634c178eec76e74ae45694e8000893f7cae6179e"
argocd        99s         Normal    ResourceUpdated                application/root                                     Updated sync status:  -> Unknown
argocd        99s         Normal    ResourceUpdated                application/root                                     Updated health status:  -> Healthy
argocd        98s         Normal    SuccessfulDelete               replicaset/argocd-repo-server-95fccf577              Deleted pod: argocd-repo-server-95fccf577-b6999
argocd        98s         Normal    ScalingReplicaSet              deployment/argocd-repo-server                        Scaled down replica set argocd-repo-server-95fccf577 from 1 to 0
argocd        98s         Normal    Killing                        pod/argocd-repo-server-95fccf577-b6999               Stopping container argocd-repo-server
gmp-system    98s         Normal    Pulling                        pod/collector-2hn2m                                  Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/prometheus:v2.53.5-gmp.5-gke.1@sha256:68038912eddca33347de1e85ffae8b785832303875957bd58d579a52ce8b6f93"
kube-system   97s         Normal    Pulled                         pod/node-local-dns-mrvqm                             Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260422_2300_RC0@sha256:70625564549ccc35d34e119dd3e3d5e2f841be9c309940d3ed5bb4e649a3c59f" in 5.432s (14.431s including waiting). Image size: 26354407 bytes.
kube-system   96s         Normal    Started                        pod/kube-dns-77d469c9c9-h2h5f                        Container started
kube-system   96s         Normal    Created                        pod/node-local-dns-mrvqm                             Container created
kube-system   96s         Normal    Started                        pod/node-local-dns-mrvqm                             Container started
kube-system   96s         Normal    Pulling                        pod/kube-dns-77d469c9c9-h2h5f                        Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-sidecar:1.26.8-gke.3@sha256:58eed94278e7b43ad2f4c302fd7457e4b5429e1296854d75c75ad45646e259d0"
kube-system   96s         Normal    Created                        pod/kube-dns-77d469c9c9-h2h5f                        Container created
kube-system   96s         Normal    Pulled                         pod/kube-dns-77d469c9c9-h2h5f                        Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-dnsmasq-nanny:1.26.8-gke.3@sha256:b5a2a5d776d611873573087f2caae2655122eb6354ca33856358331a1dcb9f2a" in 5.924s (12.931s including waiting). Image size: 33471642 bytes.
kube-system   95s         Normal    Started                        pod/konnectivity-agent-79cd9446fc-bkzh9              Container started
kube-system   95s         Normal    Created                        pod/konnectivity-agent-79cd9446fc-bkzh9              Container created
kube-system   95s         Normal    Pulled                         pod/konnectivity-agent-79cd9446fc-bkzh9              Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260121_2300_RC0@sha256:3cbd2b897c681db94832b4e03e58e4e2168666259507ff8fb8ae43a01a3b5f5d" in 1.804s (12.855s including waiting). Image size: 26329267 bytes.
kube-system   94s         Normal    Created                        pod/fluentbit-gke-v29rz                              Container created
kube-system   94s         Normal    Pulled                         pod/fluentbit-gke-v29rz                              Container image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260617_2300_RC0@sha256:c8cd71f5cd9f076b55e3f1db733e6adacd6ad3cfabaa9eb467b0ece8e691d73b" already present on machine and can be accessed by the pod
kube-system   94s         Normal    Pulled                         pod/fluentbit-gke-v29rz                              Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/fluent-bit-gke-exporter:v0.27.17-gke.20@sha256:67269cb89dbf9cf4e76e199a634c178eec76e74ae45694e8000893f7cae6179e" in 1.916s (5.689s including waiting). Image size: 36248865 bytes.
kube-system   94s         Normal    Started                        pod/fluentbit-gke-v29rz                              Container started
kube-system   93s         Normal    Started                        pod/fluentbit-gke-v29rz                              Container started
kube-system   93s         Normal    Created                        pod/fluentbit-gke-v29rz                              Container created
kube-system   92s         Normal    Pulled                         pod/kube-dns-77d469c9c9-h2h5f                        Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-sidecar:1.26.8-gke.3@sha256:58eed94278e7b43ad2f4c302fd7457e4b5429e1296854d75c75ad45646e259d0" in 2.68s (4.286s including waiting). Image size: 27137227 bytes.
kube-system   91s         Normal    Created                        pod/kube-dns-77d469c9c9-h2h5f                        Container created
kube-system   91s         Normal    Started                        pod/kube-dns-77d469c9c9-h2h5f                        Container started
kube-system   91s         Normal    Pulling                        pod/kube-dns-77d469c9c9-h2h5f                        Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260412_2300_RC0@sha256:fbc30ed703e17c3ae5622888145452d22865bb4f273db05321929a0fda0019a2"
kube-system   90s         Normal    Pulled                         pod/kube-dns-77d469c9c9-h2h5f                        Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260412_2300_RC0@sha256:fbc30ed703e17c3ae5622888145452d22865bb4f273db05321929a0fda0019a2" in 1.178s (1.178s including waiting). Image size: 26315860 bytes.
kube-system   90s         Normal    Started                        pod/kube-dns-77d469c9c9-h2h5f                        Container started
kube-system   90s         Normal    Created                        pod/kube-dns-77d469c9c9-h2h5f                        Container created
gmp-system    89s         Normal    Pulled                         pod/collector-2hn2m                                  Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/prometheus:v2.53.5-gmp.5-gke.1@sha256:68038912eddca33347de1e85ffae8b785832303875957bd58d579a52ce8b6f93" in 5.677s (8.732s including waiting). Image size: 146494435 bytes.
gmp-system    89s         Normal    Pulling                        pod/collector-2hn2m                                  Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/config-reloader:v0.18.1-gke.2@sha256:25c40417469953bd29e297733293bc1bc34d297e80dea7acc408492ba0d166d9"
gmp-system    89s         Normal    Started                        pod/collector-2hn2m                                  Container started
gmp-system    89s         Normal    Created                        pod/collector-2hn2m                                  Container created
gmp-system    88s         Normal    Started                        pod/collector-2hn2m                                  Container started
gmp-system    88s         Normal    Created                        pod/collector-2hn2m                                  Container created
gmp-system    88s         Normal    Pulled                         pod/collector-2hn2m                                  Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/prometheus-engine/config-reloader:v0.18.1-gke.2@sha256:25c40417469953bd29e297733293bc1bc34d297e80dea7acc408492ba0d166d9" in 959ms (959ms including waiting). Image size: 25952761 bytes.
